RUN,DELAY,RELAY,START TIME,END TIME
AUTOMATED,1.0,Relay 2,13:14:44,13:14:45
AUTOMATED,1.0,Relay 3,13:14:45,13:14:46
AUTOMATED,1.0,Relay 4,13:14:46,13:14:47
AUTOMATED,1.0,Relay 5,13:14:47,13:14:48
AUTOMATED,1.0,Relay 6,13:14:48,13:14:49
AUTOMATED,1.0,Relay 7,13:14:49,13:14:50
AUTOMATED,1.0,Relay 8,13:14:50,13:14:51
AUTOMATED,1.0,Relay 9,13:14:51,13:14:52
AUTOMATED,1.0,Relay 10,13:14:52,13:14:53
AUTOMATED,1.0,Relay 11,13:14:53,13:14:54
AUTOMATED,1.0,Relay 12,13:14:54,13:14:55
AUTOMATED,1.0,Relay 13,13:14:55,13:14:56
AUTOMATED,1.0,Relay 14,13:14:56,13:14:57
AUTOMATED,1.0,Relay 15,13:14:57,13:14:58
AUTOMATED,1.0,Relay 16,13:14:58,13:14:59
AUTOMATED,1.0,Complete automated run,13:14:44,13:14:59
 , , , , 
MANUAL,None,Relay 6,13:15:05,13:15:12
 , , , , 
AUTOMATED,2.0,Relay 2,13:15:17,13:15:19
AUTOMATED,2.0,Relay 3,13:15:19,13:15:21
AUTOMATED,2.0,Relay 4,13:15:21,13:15:23
AUTOMATED,2.0,Relay 5,13:15:23,13:15:25
AUTOMATED,2.0,Relay 6,13:15:17,13:15:26
 , , , , 
 , , , , 
