RUN,DELAY (s),RELAY,START TIME,END TIME
RUN,DELAY (s),RELAY,START TIME,END TIME
AUTOMATED,2.0,Relay 2,12/02/2025 11:41:51,12/02/2025 11:41:53
AUTOMATED,2.0,Relay 3,12/02/2025 11:41:53,12/02/2025 11:41:55
AUTOMATED,2.0,Relay 4,12/02/2025 11:41:55,12/02/2025 11:41:57
AUTOMATED,2.0,Relay 5,12/02/2025 11:41:57,12/02/2025 11:41:59
AUTOMATED,2.0,Relay 6,12/02/2025 11:41:59,12/02/2025 11:42:01
AUTOMATED,2.0,Relay 7,12/02/2025 11:42:01,12/02/2025 11:42:03
AUTOMATED,2.0,Relay 8,12/02/2025 11:42:03,12/02/2025 11:42:05
AUTOMATED,2.0,Relay 9,12/02/2025 11:42:05,12/02/2025 11:42:07
AUTOMATED,2.0,Relay 10,12/02/2025 11:42:07,12/02/2025 11:42:09
AUTOMATED,2.0,Relay 11,12/02/2025 11:42:09,12/02/2025 11:42:11
AUTOMATED,2.0,Relay 12,12/02/2025 11:42:11,12/02/2025 11:42:13
AUTOMATED,2.0,Relay 13,12/02/2025 11:42:13,12/02/2025 11:42:15
AUTOMATED,2.0,Relay 14,12/02/2025 11:42:15,12/02/2025 11:42:17
AUTOMATED,2.0,Relay 15,12/02/2025 11:42:17,12/02/2025 11:42:19
AUTOMATED,2.0,Relay 16,12/02/2025 11:42:19,12/02/2025 11:42:21
AUTOMATED,2.0,Complete automated run,12/02/2025 11:41:51,12/02/2025 11:42:21
 , , , , 
