RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
AUTOMATED,2.0,Relay 2,01/06/2026 11:00:17,01/06/2026 11:00:19,0.1378
AUTOMATED,2.0,Relay 3,01/06/2026 11:00:19,01/06/2026 11:00:21,0.0254
AUTOMATED,2.0,Relay 4,01/06/2026 11:00:21,01/06/2026 11:00:23,0.5171
AUTOMATED,2.0,Relay 5,01/06/2026 11:00:23,01/06/2026 11:00:25,0.9746
AUTOMATED,2.0,Relay 6,01/06/2026 11:00:25,01/06/2026 11:00:27,0.4888
AUTOMATED,2.0,Relay 7,01/06/2026 11:00:27,01/06/2026 11:00:29,0.5103
AUTOMATED,2.0,Relay 8,01/06/2026 11:00:29,01/06/2026 11:00:31,0.4976
AUTOMATED,2.0,Relay 9,01/06/2026 11:00:31,01/06/2026 11:00:33,0.4976
AUTOMATED,2.0,Relay 10,01/06/2026 11:00:33,01/06/2026 11:00:35,0.4976
AUTOMATED,2.0,Relay 11,01/06/2026 11:00:35,01/06/2026 11:00:37,0.4976
AUTOMATED,2.0,Relay 12,01/06/2026 11:00:37,01/06/2026 11:00:39,0.4976
AUTOMATED,2.0,Relay 13,01/06/2026 11:00:39,01/06/2026 11:00:41,0.4976
AUTOMATED,2.0,Relay 14,01/06/2026 11:00:41,01/06/2026 11:00:43,0.4976
AUTOMATED,2.0,Relay 15,01/06/2026 11:00:43,01/06/2026 11:00:45,0.4976
AUTOMATED,2.0,Relay 16,01/06/2026 11:00:45,01/06/2026 11:00:47,0.4976
AUTOMATED,2.0,Complete automated run,01/06/2026 11:00:17,01/06/2026 11:00:47, 
 , , , , , 
AUTOMATED,2.0,Relay 2,01/06/2026 11:03:12,01/06/2026 11:03:14,0.4985
AUTOMATED,2.0,Relay 3,01/06/2026 11:03:12,01/06/2026 11:03:15,0.4985
 , , , , , 
 , , , , , 
 , , , , , 
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
AUTOMATED,2.0,Relay 2,01/06/2026 11:19:59,01/06/2026 11:20:20,
 , , , , , 
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
MANUAL,None,Relay 3,01/06/2026 11:28:25,01/06/2026 11:28:34,0.4976
 , , , , , 
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
AUTOMATED,2.0,Relay 2,01/06/2026 11:31:50,01/06/2026 11:31:52,0.216
AUTOMATED,2.0,Relay 3,01/06/2026 11:31:52,01/06/2026 11:31:54,0.3871
AUTOMATED,2.0,Relay 4,01/06/2026 11:31:54,01/06/2026 11:31:56,0.4976
AUTOMATED,2.0,Relay 5,01/06/2026 11:31:56,01/06/2026 11:31:58,0.5064
AUTOMATED,2.0,Relay 6,01/06/2026 11:31:58,01/06/2026 11:32:00,0.4976
AUTOMATED,2.0,Relay 7,01/06/2026 11:32:00,01/06/2026 11:32:02,0.4985
AUTOMATED,2.0,Relay 8,01/06/2026 11:32:02,01/06/2026 11:32:04,0.4976
AUTOMATED,2.0,Relay 9,01/06/2026 11:32:04,01/06/2026 11:32:06,0.4985
AUTOMATED,2.0,Relay 10,01/06/2026 11:32:06,01/06/2026 11:32:08,0.2737
AUTOMATED,2.0,Relay 11,01/06/2026 11:32:08,01/06/2026 11:32:10,0.1153
AUTOMATED,2.0,Relay 12,01/06/2026 11:32:10,01/06/2026 11:32:12,0.1564
AUTOMATED,2.0,Relay 13,01/06/2026 11:32:12,01/06/2026 11:32:14,0.5455
AUTOMATED,2.0,Relay 14,01/06/2026 11:32:14,01/06/2026 11:32:16,0.5103
AUTOMATED,2.0,Relay 15,01/06/2026 11:32:16,01/06/2026 11:32:18,0.5034
AUTOMATED,2.0,Relay 16,01/06/2026 11:32:18,01/06/2026 11:32:20,0.5034
AUTOMATED,2.0,Complete automated run,01/06/2026 11:31:50,01/06/2026 11:32:20, 
 , , , , , 
