RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
AUTOMATED,1.0,Relay 2,01/20/2026 09:44:58,01/20/2026 09:45:15,0.0 IDLE
AUTOMATED,1.0,Relay 2,01/20/2026 09:44:58,01/20/2026 09:45:20,0.0 IDLE
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
AUTOMATED,1.0,Relay 2,01/20/2026 09:46:55,01/20/2026 09:46:56,-0.176 OPEN
AUTOMATED,1.0,Relay 3,01/20/2026 09:46:56,01/20/2026 09:46:57,-0.3607 OPEN
AUTOMATED,1.0,Relay 4,01/20/2026 09:46:57,01/20/2026 09:46:58,-0.305 OPEN
AUTOMATED,1.0,Relay 5,01/20/2026 09:46:58,01/20/2026 09:46:59,-0.2288 OPEN
AUTOMATED,1.0,Relay 6,01/20/2026 09:46:59,01/20/2026 09:47:00,-0.2552 OPEN
AUTOMATED,1.0,Relay 7,01/20/2026 09:47:00,01/20/2026 09:47:01,-0.001 OPEN
AUTOMATED,1.0,Relay 8,01/20/2026 09:47:01,01/20/2026 09:47:02,-0.1682 OPEN
AUTOMATED,1.0,Relay 9,01/20/2026 09:47:02,01/20/2026 09:47:03,-0.0519 OPEN
AUTOMATED,1.0,Relay 10,01/20/2026 09:47:03,01/20/2026 09:47:04,0.0078 CLOSED
AUTOMATED,1.0,Relay 11,01/20/2026 09:47:04,01/20/2026 09:47:05,0.2522 CLOSED
AUTOMATED,1.0,Relay 12,01/20/2026 09:47:05,01/20/2026 09:47:06,0.2658 CLOSED
AUTOMATED,1.0,Relay 13,01/20/2026 09:47:06,01/20/2026 09:47:07,0.2346 CLOSED
AUTOMATED,1.0,Relay 14,01/20/2026 09:47:07,01/20/2026 09:47:08,0.1994 CLOSED
AUTOMATED,1.0,Relay 15,01/20/2026 09:47:08,01/20/2026 09:47:09,0.2316 CLOSED
AUTOMATED,1.0,Relay 16,01/20/2026 09:47:09,01/20/2026 09:47:10,0.301 CLOSED
AUTOMATED,1.0,Complete automated run,01/20/2026 09:46:55,01/20/2026 09:47:10,0.301 CLOSED
 , , , , ,0.301 CLOSED
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
AUTOMATED,1.0,Relay 2,01/20/2026 09:52:00,01/20/2026 09:52:01,0.0 IDLE
AUTOMATED,1.0,Relay 3,01/20/2026 09:52:01,01/20/2026 09:52:02,-0.001 OPEN
AUTOMATED,1.0,Relay 4,01/20/2026 09:52:02,01/20/2026 09:52:03,0.0 IDLE
AUTOMATED,1.0,Relay 5,01/20/2026 09:52:03,01/20/2026 09:52:04,0.0009 CLOSED
AUTOMATED,1.0,Relay 6,01/20/2026 09:52:04,01/20/2026 09:52:05,-0.1789 OPEN
AUTOMATED,1.0,Relay 7,01/20/2026 09:52:05,01/20/2026 09:52:06,-0.1711 OPEN
AUTOMATED,1.0,Relay 8,01/20/2026 09:52:06,01/20/2026 09:52:07,0.0058 CLOSED
AUTOMATED,1.0,Relay 9,01/20/2026 09:52:07,01/20/2026 09:52:08,0.0127 CLOSED
AUTOMATED,1.0,Relay 10,01/20/2026 09:52:08,01/20/2026 09:52:09,0.0185 CLOSED
AUTOMATED,1.0,Relay 11,01/20/2026 09:52:09,01/20/2026 09:52:10,0.0097 CLOSED
AUTOMATED,1.0,Relay 12,01/20/2026 09:52:10,01/20/2026 09:52:11,-0.0157 OPEN
AUTOMATED,1.0,Relay 13,01/20/2026 09:52:11,01/20/2026 09:52:12,-0.0988 OPEN
AUTOMATED,1.0,Relay 14,01/20/2026 09:52:12,01/20/2026 09:52:13,-0.0577 OPEN
AUTOMATED,1.0,Relay 15,01/20/2026 09:52:13,01/20/2026 09:52:14,-0.0528 OPEN
AUTOMATED,1.0,Relay 16,01/20/2026 09:52:14,01/20/2026 09:52:15,-0.0401 OPEN
AUTOMATED,1.0,Complete automated run,"time.struct_time(tm_year=2026, tm_mon=1, tm_mday=20, tm_hour=9, tm_min=52, tm_sec=0, tm_wday=1, tm_yday=20, tm_isdst=0)","time.struct_time(tm_year=2026, tm_mon=1, tm_mday=20, tm_hour=9, tm_min=52, tm_sec=15, tm_wday=1, tm_yday=20, tm_isdst=0)",   
 , , , , ,   
