RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
AUTOMATED,1.0,Relay 2,01/22/2026 12:05:39,01/22/2026 12:05:40,0.0009 AMBIENT
AUTOMATED,1.0,Relay 3,01/22/2026 12:05:40,01/22/2026 12:05:41,0.0009 AMBIENT
AUTOMATED,1.0,Relay 4,01/22/2026 12:05:41,01/22/2026 12:05:42,0.0009 AMBIENT
AUTOMATED,1.0,Relay 5,01/22/2026 12:05:42,01/22/2026 12:05:43,0.0009 AMBIENT
AUTOMATED,1.0,Relay 6,01/22/2026 12:05:43,01/22/2026 12:05:44,0.0048 LEAK
AUTOMATED,1.0,Relay 7,01/22/2026 12:05:44,01/22/2026 12:05:45,0.0058 LEAK
AUTOMATED,1.0,Relay 8,01/22/2026 12:05:45,01/22/2026 12:05:46,0.0058 LEAK
AUTOMATED,1.0,Relay 9,01/22/2026 12:05:46,01/22/2026 12:05:47,0.0058 LEAK
AUTOMATED,1.0,Relay 10,01/22/2026 12:05:47,01/22/2026 12:05:48,0.0068 LEAK
AUTOMATED,1.0,Relay 11,01/22/2026 12:05:48,01/22/2026 12:05:49,0.0009 AMBIENT
AUTOMATED,1.0,Relay 12,01/22/2026 12:05:49,01/22/2026 12:05:50,0.0009 AMBIENT
AUTOMATED,1.0,Relay 13,01/22/2026 12:05:50,01/22/2026 12:05:51,0.0009 AMBIENT
AUTOMATED,1.0,Relay 14,01/22/2026 12:05:51,01/22/2026 12:05:52,0.0009 AMBIENT
AUTOMATED,1.0,Relay 15,01/22/2026 12:05:52,01/22/2026 12:05:53,0.0009 AMBIENT
AUTOMATED,1.0,Relay 16,01/22/2026 12:05:53,01/22/2026 12:05:54,0.0009 AMBIENT
AUTOMATED,1.0,Complete automated run,01/22/2026 12:05:39,01/22/2026 12:05:54, 
 , , , , , 
RUN,DELAY (s),RELAY,START TIME,END TIME,SENSOR
AUTOMATED,1.0,Relay 2,01/22/2026 12:17:46,01/22/2026 12:17:47,0.0009 AMBIENT
AUTOMATED,1.0,Relay 3,01/22/2026 12:17:47,01/22/2026 12:17:48,0.0009 AMBIENT
AUTOMATED,1.0,Relay 4,01/22/2026 12:17:48,01/22/2026 12:17:49,0.0009 AMBIENT
AUTOMATED,1.0,Relay 5,01/22/2026 12:17:49,01/22/2026 12:17:50,0.0009 AMBIENT
AUTOMATED,1.0,Relay 6,01/22/2026 12:17:50,01/22/2026 12:17:51,0.0009 AMBIENT
AUTOMATED,1.0,Relay 7,01/22/2026 12:17:51,01/22/2026 12:17:52,0.0009 AMBIENT
AUTOMATED,1.0,Relay 8,01/22/2026 12:17:52,01/22/2026 12:17:53,0.0009 AMBIENT
AUTOMATED,1.0,Relay 9,01/22/2026 12:17:53,01/22/2026 12:17:54,0.0009 AMBIENT
AUTOMATED,1.0,Relay 10,01/22/2026 12:17:54,01/22/2026 12:17:55,0.0009 AMBIENT
AUTOMATED,1.0,Relay 11,01/22/2026 12:17:55,01/22/2026 12:17:56,0.0009 AMBIENT
AUTOMATED,1.0,Relay 12,01/22/2026 12:17:56,01/22/2026 12:17:57,0.0009 AMBIENT
AUTOMATED,1.0,Relay 13,01/22/2026 12:17:57,01/22/2026 12:17:58,0.0048 LEAK
AUTOMATED,1.0,Relay 14,01/22/2026 12:17:58,01/22/2026 12:17:59,0.0048 LEAK
AUTOMATED,1.0,Relay 15,01/22/2026 12:17:59,01/22/2026 12:18:00,0.0068 LEAK
AUTOMATED,1.0,Relay 16,01/22/2026 12:18:00,01/22/2026 12:18:01,0.0048 LEAK
AUTOMATED,1.0,Complete automated run,01/22/2026 12:17:46,01/22/2026 12:18:01, 
 , , , , , 
MANUAL,None,Relay 4,01/22/2026 12:18:07,01/22/2026 12:18:13,0.0009 AMBIENT
 , , , , , 
AUTOMATED,1.0,Relay 2,01/22/2026 12:18:15,01/22/2026 12:18:16,0.0 AMBIENT
AUTOMATED,1.0,Relay 3,01/22/2026 12:18:16,01/22/2026 12:18:17,0.0 AMBIENT
AUTOMATED,1.0,Relay 4,01/22/2026 12:18:17,01/22/2026 12:18:18,0.0 AMBIENT
AUTOMATED,1.0,Relay 5,01/22/2026 12:18:18,01/22/2026 12:18:19,0.0 AMBIENT
AUTOMATED,1.0,Relay 6,01/22/2026 12:18:19,01/22/2026 12:18:20,0.0 AMBIENT
AUTOMATED,1.0,Relay 7,01/22/2026 12:18:20,01/22/2026 12:18:21,0.0009 AMBIENT
AUTOMATED,1.0,Relay 8,01/22/2026 12:18:21,01/22/2026 12:18:22,0.0 AMBIENT
AUTOMATED,1.0,Relay 9,01/22/2026 12:18:22,01/22/2026 12:18:23,0.0 AMBIENT
AUTOMATED,1.0,Relay 10,01/22/2026 12:18:23,01/22/2026 12:18:24,0.0 AMBIENT
AUTOMATED,1.0,Relay 11,01/22/2026 12:18:24,01/22/2026 12:18:25,0.0 AMBIENT
AUTOMATED,1.0,Relay 12,01/22/2026 12:18:25,01/22/2026 12:18:26,0.0 AMBIENT
AUTOMATED,1.0,Relay 13,01/22/2026 12:18:26,01/22/2026 12:18:27,0.0009 AMBIENT
AUTOMATED,1.0,Relay 14,01/22/2026 12:18:27,01/22/2026 12:18:28,0.0 AMBIENT
AUTOMATED,1.0,Relay 15,01/22/2026 12:18:28,01/22/2026 12:18:29,0.0 AMBIENT
AUTOMATED,1.0,Relay 16,01/22/2026 12:18:29,01/22/2026 12:18:30,0.0 AMBIENT
AUTOMATED,1.0,Complete automated run,01/22/2026 12:18:15,01/22/2026 12:18:30, 
 , , , , , 
MANUAL,None,Relay 6,01/22/2026 12:18:34,01/22/2026 12:18:45,0.0 AMBIENT
 , , , , , 
