RUN,RELAY,TIME,SENSOR VALUE,STATUS
,Off,01/22/2026 11:32:14,0.0009,AMBIENT
,Off,01/22/2026 11:32:15,0.0009,AMBIENT
,Off,01/22/2026 11:32:16,0.0009,AMBIENT
,Off,01/22/2026 11:32:17,0.0009,AMBIENT
,Off,01/22/2026 11:32:18,0.0,AMBIENT
,Off,01/22/2026 11:32:19,0.0009,AMBIENT
,Off,01/22/2026 11:32:20,0.0009,AMBIENT
,Off,01/22/2026 11:32:21,0.0009,AMBIENT
,Off,01/22/2026 11:32:22,0.0009,AMBIENT
,Off,01/22/2026 11:32:23,0.0009,AMBIENT
,Off,01/22/2026 11:32:24,0.0009,AMBIENT
,Off,01/22/2026 11:32:25,0.0009,AMBIENT
,Off,01/22/2026 11:32:26,0.0009,AMBIENT
,Off,01/22/2026 11:32:27,0.0,AMBIENT
,Off,01/22/2026 11:32:28,0.0,AMBIENT
,Off,01/22/2026 11:32:29,0.0009,AMBIENT
,Off,01/22/2026 11:32:30,0.0009,AMBIENT
,Off,01/22/2026 11:32:31,0.0009,AMBIENT
,Off,01/22/2026 11:32:32,0.0,AMBIENT
,Off,01/22/2026 11:32:33,0.0009,AMBIENT
,Off,01/22/2026 11:32:34,0.0009,AMBIENT
,Off,01/22/2026 11:32:35,0.0009,AMBIENT
,Off,01/22/2026 11:32:36,0.0009,AMBIENT
,Off,01/22/2026 11:32:37,0.0009,AMBIENT
,Off,01/22/2026 11:32:38,0.0009,AMBIENT
,Off,01/22/2026 11:32:39,0.0009,AMBIENT
,Off,01/22/2026 11:32:40,0.0,AMBIENT
,Off,01/22/2026 11:32:41,0.0009,AMBIENT
,Off,01/22/2026 11:32:42,0.0,AMBIENT
,Off,01/22/2026 11:32:43,0.0009,AMBIENT
RUN,RELAY,TIME,SENSOR VALUE,STATUS
,Off,01/22/2026 11:34:28,0.0,AMBIENT
,Off,01/22/2026 11:34:29,0.0,AMBIENT
,Off,01/22/2026 11:34:30,0.0,AMBIENT
,Off,01/22/2026 11:34:31,0.0009,AMBIENT
,Off,01/22/2026 11:34:32,0.0009,AMBIENT
RUN,RELAY,TIME,SENSOR VALUE,STATUS
,Off,01/22/2026 12:05:33,0.0009,AMBIENT
,Off,01/22/2026 12:05:34,0.0,AMBIENT
,Off,01/22/2026 12:05:35,0.0009,AMBIENT
,Off,01/22/2026 12:05:36,0.0009,AMBIENT
,Off,01/22/2026 12:05:37,0.0,AMBIENT
,Off,01/22/2026 12:05:38,0.0009,AMBIENT
,Off,01/22/2026 12:05:39,0.0009,AMBIENT
AUTOMATED,Relay 2,01/22/2026 12:05:40,0.0009,AMBIENT
AUTOMATED,Relay 3,01/22/2026 12:05:41,0.0009,AMBIENT
AUTOMATED,Relay 4,01/22/2026 12:05:42,0.0009,AMBIENT
AUTOMATED,Relay 5,01/22/2026 12:05:43,0.0009,AMBIENT
AUTOMATED,Relay 6,01/22/2026 12:05:44,0.0048,LEAK
AUTOMATED,Relay 7,01/22/2026 12:05:45,0.0058,LEAK
AUTOMATED,Relay 8,01/22/2026 12:05:46,0.0058,LEAK
AUTOMATED,Relay 9,01/22/2026 12:05:47,0.0058,LEAK
AUTOMATED,Relay 10,01/22/2026 12:05:48,0.0068,LEAK
AUTOMATED,Relay 11,01/22/2026 12:05:49,0.0009,AMBIENT
AUTOMATED,Relay 12,01/22/2026 12:05:50,0.0009,AMBIENT
AUTOMATED,Relay 13,01/22/2026 12:05:51,0.0009,AMBIENT
AUTOMATED,Relay 14,01/22/2026 12:05:52,0.0009,AMBIENT
AUTOMATED,Relay 15,01/22/2026 12:05:53,0.0009,AMBIENT
AUTOMATED,Relay 16,01/22/2026 12:05:54,0.0009,AMBIENT
,Off,01/22/2026 12:05:55,0.0,AMBIENT
,Off,01/22/2026 12:05:56,0.0009,AMBIENT
,Off,01/22/2026 12:05:57,0.0009,AMBIENT
RUN,RELAY,TIME,SENSOR VALUE,STATUS
,Off,01/22/2026 12:17:40,0.0009,AMBIENT
,Off,01/22/2026 12:17:41,0.0009,AMBIENT
,Off,01/22/2026 12:17:42,0.0009,AMBIENT
,Off,01/22/2026 12:17:43,0.0,AMBIENT
,Off,01/22/2026 12:17:44,0.0009,AMBIENT
,Off,01/22/2026 12:17:45,0.0009,AMBIENT
AUTOMATED,Relay 2,01/22/2026 12:17:46,0.0009,AMBIENT
AUTOMATED,Relay 3,01/22/2026 12:17:47,0.0009,AMBIENT
AUTOMATED,Relay 4,01/22/2026 12:17:48,0.0009,AMBIENT
AUTOMATED,Relay 5,01/22/2026 12:17:49,0.0009,AMBIENT
AUTOMATED,Relay 6,01/22/2026 12:17:50,0.0009,AMBIENT
AUTOMATED,Relay 7,01/22/2026 12:17:51,0.0009,AMBIENT
AUTOMATED,Relay 8,01/22/2026 12:17:52,0.0009,AMBIENT
AUTOMATED,Relay 9,01/22/2026 12:17:53,0.0009,AMBIENT
AUTOMATED,Relay 10,01/22/2026 12:17:54,0.0009,AMBIENT
AUTOMATED,Relay 11,01/22/2026 12:17:55,0.0009,AMBIENT
AUTOMATED,Relay 12,01/22/2026 12:17:56,0.0009,AMBIENT
AUTOMATED,Relay 13,01/22/2026 12:17:57,0.0048,LEAK
AUTOMATED,Relay 14,01/22/2026 12:17:58,0.0048,LEAK
AUTOMATED,Relay 15,01/22/2026 12:17:59,0.0068,LEAK
AUTOMATED,Relay 16,01/22/2026 12:18:00,0.0048,LEAK
,Off,01/22/2026 12:18:01,0.0048,LEAK
,Off,01/22/2026 12:18:02,0.0,AMBIENT
,Off,01/22/2026 12:18:03,0.0,AMBIENT
,Off,01/22/2026 12:18:04,0.0009,AMBIENT
,Off,01/22/2026 12:18:05,0.0,AMBIENT
,Off,01/22/2026 12:18:06,0.0,AMBIENT
MANUAL,Relay 4,01/22/2026 12:18:07,0.0009,AMBIENT
MANUAL,Relay 4,01/22/2026 12:18:08,0.0009,AMBIENT
MANUAL,Relay 4,01/22/2026 12:18:09,0.0,AMBIENT
MANUAL,Relay 4,01/22/2026 12:18:10,0.0009,AMBIENT
MANUAL,Relay 4,01/22/2026 12:18:11,0.0,AMBIENT
MANUAL,Relay 4,01/22/2026 12:18:12,0.0009,AMBIENT
,Off,01/22/2026 12:18:13,0.0,AMBIENT
,Off,01/22/2026 12:18:14,0.0,AMBIENT
AUTOMATED,Relay 2,01/22/2026 12:18:15,0.0,AMBIENT
AUTOMATED,Relay 3,01/22/2026 12:18:16,0.0,AMBIENT
AUTOMATED,Relay 4,01/22/2026 12:18:17,0.0,AMBIENT
AUTOMATED,Relay 5,01/22/2026 12:18:18,0.0,AMBIENT
AUTOMATED,Relay 6,01/22/2026 12:18:19,0.0,AMBIENT
AUTOMATED,Relay 7,01/22/2026 12:18:20,0.0009,AMBIENT
AUTOMATED,Relay 8,01/22/2026 12:18:21,0.0,AMBIENT
AUTOMATED,Relay 9,01/22/2026 12:18:22,0.0,AMBIENT
AUTOMATED,Relay 10,01/22/2026 12:18:23,0.0,AMBIENT
AUTOMATED,Relay 11,01/22/2026 12:18:24,0.0,AMBIENT
AUTOMATED,Relay 12,01/22/2026 12:18:25,0.0,AMBIENT
AUTOMATED,Relay 13,01/22/2026 12:18:26,0.0009,AMBIENT
AUTOMATED,Relay 14,01/22/2026 12:18:27,0.0,AMBIENT
AUTOMATED,Relay 15,01/22/2026 12:18:28,0.0,AMBIENT
AUTOMATED,Relay 16,01/22/2026 12:18:29,0.0,AMBIENT
,Off,01/22/2026 12:18:30,0.0,AMBIENT
,Off,01/22/2026 12:18:31,0.0,AMBIENT
,Off,01/22/2026 12:18:32,0.0,AMBIENT
,Off,01/22/2026 12:18:33,0.0,AMBIENT
